system:index,first,.geo
0,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.86223471304933,6.8850826122132]}"
1,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.8617517673391,6.885079884853286]}"
2,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.86126882162885,6.885077157493371]}"
3,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.86078587591862,6.885074430133457]}"
4,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.86030293020839,6.885071702773543]}"
5,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85981998449816,6.8850689754136285]}"
6,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85933703878791,6.8850662480537155]}"
7,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85885409307768,6.885063520693801]}"
8,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85837114736745,6.885060793333886]}"
9,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.8578882016572,6.885058065973971]}"
10,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85740525594699,6.885055338614059]}"
11,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85692231023674,6.885052611254144]}"
12,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85643936452651,6.8850498838942285]}"
13,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85595641881626,6.885047156534315]}"
14,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85547347310603,6.8850444291744015]}"
15,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.8549905273958,6.885041701814488]}"
16,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85450758168555,6.885038974454573]}"
17,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85402463597532,6.885036247094659]}"
18,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85354169026509,6.885033519734744]}"
19,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85305874455486,6.88503079237483]}"
20,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85257579884461,6.885028065014915]}"
21,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85209285313438,6.885025337655001]}"
22,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85160990742415,6.8850226102950876]}"
23,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.8511269617139,6.885019882935174]}"
24,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85064401600367,6.885017155575259]}"
25,4499.140870104234,"{""type"":""Point"",""coordinates"":[-76.85016107029344,6.885014428215345]}"
26,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.8496781245832,6.885011700855431]}"
27,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84919517887296,6.885008973495516]}"
28,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84871223316273,6.885006246135602]}"
29,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.8482292874525,6.885003518775688]}"
30,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84774634174227,6.8850007914157745]}"
31,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84726339603202,6.88499806405586]}"
32,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84678045032179,6.884995336695946]}"
33,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84629750461156,6.884992609336033]}"
34,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84581455890131,6.884989881976117]}"
35,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84533161319108,6.884987154616203]}"
36,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84484866748085,6.88498442725629]}"
37,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84436572177061,6.884981699896375]}"
38,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84388277606037,6.88497897253646]}"
39,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84339983035014,6.884976245176546]}"
40,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.8429168846399,6.884973517816632]}"
41,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84243393892966,6.884970790456718]}"
42,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84195099321944,6.884968063096804]}"
43,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.8414680475092,6.88496533573689]}"
44,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84098510179896,6.884962608376975]}"
45,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84050215608872,6.8849598810170605]}"
46,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.84001921037849,6.8849571536571466]}"
47,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83953626466825,6.8849544262972335]}"
48,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83905331895801,6.884951698937318]}"
49,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83857037324778,6.884948971577405]}"
50,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83808742753754,6.88494624421749]}"
51,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83760448182731,6.884943516857577]}"
52,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83712153611707,6.884940789497662]}"
53,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83663859040684,6.884938062137748]}"
54,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.8361556446966,6.8849353347778335]}"
55,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83567269898636,6.88493260741792]}"
56,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83518975327613,6.884929880058005]}"
57,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.8347068075659,6.88492715269809]}"
58,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83422386185566,6.884924425338178]}"
59,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83374091614542,6.884921697978263]}"
60,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83325797043518,6.884918970618348]}"
61,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83277502472495,6.884916243258433]}"
62,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.8322920790147,6.88491351589852]}"
63,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83180913330447,6.884910788538606]}"
64,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83132618759424,6.884908061178692]}"
65,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83084324188401,6.884905333818778]}"
66,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.83036029617377,6.884902606458862]}"
67,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.82987735046355,6.884899879098949]}"
68,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.8293944047533,6.884897151739034]}"
69,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.82891145904306,6.88489442437912]}"
70,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.82842851333282,6.884891697019207]}"
71,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.82794556762259,6.884888969659293]}"
72,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.82746262191236,6.884886242299377]}"
73,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.82697967620211,6.884883514939463]}"
74,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.82649673049188,6.88488078757955]}"
75,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.82601378478165,6.884878060219636]}"
76,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.8255308390714,6.884875332859722]}"
77,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.82504789336117,6.884872605499808]}"
78,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.82456494765094,6.8848698781398925]}"
79,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.82408200194071,6.884867150779979]}"
80,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.82359905623046,6.8848644234200655]}"
81,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.82311611052023,6.884861696060151]}"
82,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.82263316481,6.884858968700236]}"
83,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.82215021909977,6.884856241340323]}"
84,4456.75319056142,"{""type"":""Point"",""coordinates"":[-76.82166727338952,6.884853513980408]}"
