system:index,first,.geo
0,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.84575522086183,6.331232859266159]}"
1,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.84527612113564,6.331231767109716]}"
2,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.84479702140945,6.331230674953273]}"
3,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.84431792168324,6.3312295827968335]}"
4,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.84383882195705,6.33122849064039]}"
5,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.84335972223086,6.33122739848395]}"
6,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.84288062250467,6.331226306327508]}"
7,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.84240152277847,6.331225214171066]}"
8,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.84192242305227,6.331224122014624]}"
9,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.84144332332608,6.331223029858182]}"
10,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.84096422359988,6.331221937701741]}"
11,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.84048512387369,6.331220845545298]}"
12,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.84000602414748,6.331219753388857]}"
13,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83952692442129,6.331218661232415]}"
14,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.8390478246951,6.3312175690759736]}"
15,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83856872496891,6.331216476919533]}"
16,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.8380896252427,6.33121538476309]}"
17,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83761052551652,6.331214292606649]}"
18,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83713142579032,6.331213200450207]}"
19,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83665232606413,6.331212108293764]}"
20,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83617322633793,6.331211016137322]}"
21,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83569412661173,6.331209923980881]}"
22,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83521502688554,6.331208831824441]}"
23,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83473592715934,6.331207739667998]}"
24,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83425682743317,6.331206647511555]}"
25,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83377772770694,6.3312055553551145]}"
26,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83329862798075,6.331204463198672]}"
27,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83281952825456,6.33120337104223]}"
28,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83234042852837,6.331202278885789]}"
29,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83186132880218,6.331201186729347]}"
30,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83138222907597,6.331200094572906]}"
31,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83090312934978,6.331199002416464]}"
32,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.83042402962359,6.331197910260022]}"
33,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.8299449298974,6.331196818103581]}"
34,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82946583017119,6.331195725947141]}"
35,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.828986730445,6.331194633790697]}"
36,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.8285076307188,6.331193541634256]}"
37,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82802853099261,6.331192449477815]}"
38,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82754943126642,6.331191357321372]}"
39,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82707033154021,6.33119026516493]}"
40,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82659123181402,6.3311891730084895]}"
41,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82611213208783,6.331188080852048]}"
42,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82563303236164,6.331186988695604]}"
43,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82515393263543,6.331185896539163]}"
44,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82467483290924,6.331184804382722]}"
45,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82419573318305,6.33118371222628]}"
46,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82371663345685,6.331182620069838]}"
47,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82323753373066,6.3311815279133965]}"
48,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82275843400446,6.331180435756955]}"
49,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82227933427826,6.331179343600513]}"
50,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82180023455207,6.331178251444071]}"
51,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82132113482588,6.331177159287631]}"
52,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82084203509967,6.331176067131189]}"
53,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.82036293537348,6.331174974974747]}"
54,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.8198838356473,6.3311738828183035]}"
55,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.8194047359211,6.331172790661862]}"
56,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.8189256361949,6.331171698505421]}"
57,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.8184465364687,6.33117060634898]}"
58,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.8179674367425,6.3311695141925375]}"
59,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.81748833701631,6.331168422036096]}"
60,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.81700923729012,6.331167329879654]}"
61,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.81653013756392,6.331166237723212]}"
62,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.81605103783772,6.3311651455667715]}"
63,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.81557193811153,6.331164053410328]}"
64,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.81509283838535,6.331162961253887]}"
65,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.81461373865915,6.3311618690974445]}"
66,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.81413463893294,6.331160776941004]}"
67,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.81365553920675,6.331159684784563]}"
68,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.81317643948056,6.33115859262812]}"
69,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.81269733975437,6.3311575004716785]}"
70,5700.940021936382,"{""type"":""Point"",""coordinates"":[-76.81221824002816,6.331156408315236]}"
