system:index,first,.geo
0,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.79082358023683,5.656539896712582]}"
1,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.79035876559422,5.65654536409247]}"
2,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.7898939509516,5.656550831472358]}"
3,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78942913630898,5.656556298852245]}"
4,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78896432166637,5.656561766232134]}"
5,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78849950702376,5.656567233612022]}"
6,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78803469238113,5.65657270099191]}"
7,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78756987773852,5.656578168371797]}"
8,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78710506309591,5.656583635751686]}"
9,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78664024845328,5.656589103131575]}"
10,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78617543381067,5.656594570511463]}"
11,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78571061916806,5.6566000378913515]}"
12,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78524580452545,5.656605505271239]}"
13,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78478098988282,5.656610972651127]}"
14,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.7843161752402,5.656616440031015]}"
15,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.7838513605976,5.656621907410903]}"
16,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78338654595498,5.656627374790792]}"
17,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78292173131236,5.65663284217068]}"
18,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78245691666974,5.6566383095505675]}"
19,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78199210202715,5.656643776930456]}"
20,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.7815272873845,5.656649244310345]}"
21,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.7810624727419,5.656654711690233]}"
22,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78059765809928,5.656660179070121]}"
23,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.78013284345667,5.6566656464500085]}"
24,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.77966802881404,5.656671113829897]}"
25,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.77920321417145,5.656676581209786]}"
26,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.77873839952882,5.656682048589674]}"
27,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.7782735848862,5.656687515969561]}"
28,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.77780877024358,5.65669298334945]}"
29,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.77734395560097,5.656698450729337]}"
30,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.77687914095836,5.656703918109226]}"
31,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.77641432631573,5.656709385489113]}"
32,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.77594951167312,5.656714852869003]}"
33,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.7754846970305,5.65672032024889]}"
34,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.7750198823879,5.65672578762878]}"
35,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.77455506774527,5.656731255008667]}"
36,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.77409025310266,5.656736722388556]}"
37,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.77362543846004,5.656742189768442]}"
38,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.77316062381742,5.656747657148332]}"
39,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.7726958091748,5.65675312452822]}"
40,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.7722309945322,5.656758591908107]}"
41,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.77176617988958,5.656764059287995]}"
42,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.77130136524696,5.656769526667885]}"
43,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.77083655060434,5.656774994047772]}"
44,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.77037173596173,5.65678046142766]}"
45,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.7699069213191,5.656785928807548]}"
46,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.7694421066765,5.656791396187438]}"
47,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.76897729203388,5.656796863567324]}"
48,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.76851247739127,5.656802330947212]}"
49,7329.012760507209,"{""type"":""Point"",""coordinates"":[-76.76804766274866,5.656807798327101]}"
