distance,elevation,gradient,hypso
14315.3697603314,2303,0.16,0.49388829408849
14302.8697603314,2301,0.16,0.494993535797581
14290.3697603314,2299,0.113137084989848,0.493371866381738
14593.4027689204,2345,0.16,0.484061291893841
14580.9027689204,2343,0.08,0.482313277962716
14568.4027689204,2342,0.08,0.481473292450445
14555.9027689204,2341,0.07974609375,0.481911761160199
14543.4027689204,2340.00317382812,0.00025390625,0.481552311487963
14530.9027689204,2340,0.08,0.481491046956086
14518.4027689204,2339,0.16,0.481990959645218
14505.9027689204,2337,0.16,0.483112764342003
14493.4027689204,2335,0.16,0.484291701362382
14480.9027689204,2333,0.08,0.485464685908323
14468.4027689204,2332,0.16,0.486017105721505
14455.9027689204,2330,0.16,0.487181326228244
14443.4027689204,2328,0.16,0.482504677713149
14430.9027689204,2326,0.16,0.483548871280758
14418.4027689204,2324,0.169705627484771,0.484405274565369
14345.5474298611,2309,0.24,0.490911706017735
14333.0474298611,2306,0.169705627484771,0.492622156760584
14272.6920908018,2297,0.169705627484771,0.494163096739723
14673.5804384501,2364,0.24,0.584844430457407
14661.0804384501,2361,0.24,0.476429626151972
14648.5804384501,2358,0.32,0.47830719363037
14636.0804384501,2354,0.24,0.48080964275041
14623.5804384501,2351,0.24,0.48265388765019
14611.0804384501,2348,0.169705627484771,0.484484149086272
14400.7250993908,2321,0.24,0.484195926860311
14388.2250993908,2318,0.24,0.485955973225607
14375.7250993908,2315,0.24,0.487703187612012
14363.2250993908,2312,0.169705627484771,0.489437705261274
14255.0144212721,2294,0.169705627484771,0.495775252495174
14716.2581079797,2371,0.16,0.587946036041286
14703.7581079797,2369,0.16,0.583024318270041
14691.2581079797,2367,0.169705627484771,0.583623252197406
14237.3367517424,2291,0.24,0.497438576489477
14224.8367517424,2288,0.24,0.499090127492041
14212.3367517424,2285,0.24,0.490417714618128
14199.8367517424,2282,0.16,0.424021109516459
14187.3367517424,2280,0.113137084989848,0.405122929531104
14758.9357775094,2374.00317382812,0.00025390625,0.587296965159641
14746.4357775094,2374,0.08,0.587184534052776
14733.9357775094,2373,0.113137084989848,0.587363878666251
14169.6590822128,2278,0.113137084989848,0.394028782060957
14771.4357775094,2376,0.15974609375,0.58913706937421
14151.9814126831,2276,0.169705627484771,0.394800889808986
14789.1134470391,2379,0.169705627484771,0.587688396865267
14134.3037431535,2273,0.169705627484771,0.396724565129269
14806.7911165687,2385,0.339411254969543,0.58726811736484
14116.6260736238,2270,0.24,0.398634670182313
14104.1260736238,2267,0.113137084989848,0.399734067169472
14824.4687860984,2392,0.395979797464467,0.58365658971695
14086.4484040941,2265,0.08,0.385766020190294
14073.9484040941,2264,0.24,0.384237244099455
14061.4484040941,2261,0.24,0.380893472641579
14048.9484040941,2258,0.24,0.380407752990269
14036.4484040941,2255,0.32,0.382229377625347
14023.9484040941,2251,0.24,0.384857858143101
14011.4484040941,2248,0.31923828125,0.386842331028218
13998.9484040941,2244.00952148438,0.000179538831160647,0.389127869016995
14842.1464556281,2396,0.226274169979695,0.581611811591932
13981.2707345645,2244.00634765625,0.00025390625,0.389082594789285
14872.3241251577,2402,0.24,0.578674415258766
14859.8241251577,2399,0.169705627484771,0.580206184089867
13968.7707345645,2244.00317382812,0.000179538831160647,0.38581189269437
14890.0017946874,2405,0.169705627484771,0.57757937399277
13951.0930650348,2244,0.0565685424949238,0.382956623598234
14920.179464217,2410,0.16,0.580474420953798
14907.679464217,2408,0.169705627484771,0.576915926241559
13933.4153955051,2243,0.0565685424949238,0.37946194550269
14950.3571337467,2414,0.16,0.583021057708535
14937.8571337467,2412,0.113137084989848,0.58177345832975
